id,score_phrase,title,platform,score,
0,Amazing,LittleBigPlanet PS Vita,PlayStation Vita,9,
1,Amazing,LittleBigPlanet PS Vita -- Marvel Super Hero Edition,PlayStation Vita,9,
2,Great,Splice: Tree of Life,iPad,8.5,
3,Great,NHL 13,Xbox 360,8.5,
4,Great,NHL 13,PlayStation 3,8.5,
5,Good,Total War Battles: Shogun,Macintosh,7,
6,Awful,Double Dragon: Neon,Xbox 360,3,
7,Amazing,Guild Wars 2,PC,9,
8,Awful,Double Dragon: Neon,PlayStation 3,3,
9,Good,Total War Battles: Shogun,PC,7,
10,Good,Tekken Tag Tournament 2,PlayStation 3,7.5,
11,Good,Tekken Tag Tournament 2,Xbox 360,7.5,
12,Good,Wild Blood,iPhone,7,
13,Amazing,Mark of the Ninja,Xbox 360,9,
14,Amazing,Mark of the Ninja,PC,9,
15,Okay,Home: A Unique Horror Adventure,Macintosh,6.5,
16,Okay,Home: A Unique Horror Adventure,PC,6.5,
17,Great,Avengers Initiative,iPhone,8,
18,Mediocre,Way of the Samurai 4,PlayStation 3,5.5,
19,Good,JoJo's Bizarre Adventure HD,Xbox 360,7,
20,Good,JoJo's Bizarre Adventure HD,PlayStation 3,7,
21,Good,Mass Effect 3: Leviathan,Xbox 360,7.5,
22,Good,Mass Effect 3: Leviathan,PlayStation 3,7.5,
23,Good,Mass Effect 3: Leviathan,PC,7.5,
24,Amazing,Dark Souls (Prepare to Die Edition),PC,9,
25,Good,Symphony,PC,7,
26,Amazing,Bastion,iPad,9,
27,Good,Tom Clancy's Ghost Recon Phantoms,PC,7.5,
28,Great,Thirty Flights of Loving,PC,8,
29,Okay,Legasista,PlayStation 3,6.5,
30,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,Macintosh,9,
31,Great,World of Warcraft: Mists of Pandaria,PC,8.7,
32,Bad,Hell Yeah! Wrath of the Dead Rabbit,PlayStation 3,4.9,
33,Amazing,Pokemon White Version 2,Nintendo DS,9.6,
34,Good,War of the Roses,PC,7.3,
35,Amazing,Pokemon Black Version 2,Nintendo DS,9.6,
36,Okay,Drakerider,iPhone,6.5,
37,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,Xbox 360,9,
