ID,datetime,siteid,offerid,category,merchant,countrycode,browserid,devid,click
IDsrk7SoW,2017-01-14 09:42:09,4709696,887235,17714,20301556,e,Firefox,,0
IDmMSxHur,2017-01-18 17:50:53,5189467,178235,21407,9434818,b,Mozilla Firefox,Desktop,0
IDVLNN0Ut,2017-01-11 12:46:49,98480,518539,25085,2050923,a,Edge,,0
ID32T6wwQ,2017-01-17 10:18:43,8896401,390352,40339,72089744,c,Firefox,Mobile,0
IDqUShzMg,2017-01-14 16:02:33,5635120,472937,12052,39507200,d,Mozilla Firefox,Desktop,0
IDjO9XQ1Z,2017-01-14 12:08:49,2729292,961176,33638,47079934,e,Google Chrome,Mobile,0
IDUuVWVrO,2017-01-12 13:07:08,7007059,664666,68847,58604466,b,Edge,,0
IDFnmhUgG,2017-01-13 05:58:13,7295565,144797,33638,23981625,b,Firefox,Mobile,0
IDeFBJfzG,2017-01-18 13:00:54,2116058,376073,15912,30860214,c,Edge,Tablet,0
IDmyijsRf,2017-01-14 12:38:58,5329483,952097,89680,74363610,a,Edge,Tablet,0
IDGQGYgdk,2017-01-14 11:06:26,6436389,949077,76239,65017662,a,Edge,Tablet,0
IDeS7iMpY,2017-01-12 03:36:53,6401189,68770,43612,74868704,b,Google Chrome,Mobile,0
IDZHmfQix,2017-01-18 14:52:22,6139730,781977,97863,56008048,b,Mozilla Firefox,Desktop,0
IDdPZWVCs,2017-01-15 21:43:34,6718234,433512,43612,57517812,c,,Desktop,1
IDTLINkkm,2017-01-18 10:11:09,2797042,901997,17714,26391770,a,Mozilla,Desktop,0
IDGy4Wuri,2017-01-12 13:39:55,6313991,31957,71642,27723861,a,Edge,Tablet,0
IDU8ukCsv,2017-01-10 15:28:24,469603,385750,93286,7122654,a,Google Chrome,Mobile,1
IDuAAOAmP,2017-01-14 14:26:24,4260541,301045,17714,26391770,b,Firefox,Mobile,0
IDXCdNpGo,2017-01-18 16:38:01,7444049,493707,12211,58163546,a,Google Chrome,Mobile,0
IDIUehaGQ,2017-01-18 09:10:50,291279,640355,41706,4000296,a,Mozilla Firefox,Desktop,0
IDTERaNhD,2017-01-17 12:45:26,48650,746289,81229,35819606,b,Edge,Tablet,0
ID1lU14Ye,2017-01-10 17:38:23,7147868,843837,904,2050923,b,Mozilla,Desktop,0
IDf7miO2n,2017-01-13 12:58:13,6510239,437670,34670,78365183,a,Edge,Tablet,0
IDbnADIXD,2017-01-14 15:01:30,3723198,539380,10345,33683592,f,Mozilla,Desktop,0
IDvdxeuet,2017-01-19 10:33:13,8538828,771257,73248,57777528,a,,Tablet,0
IDHq4islp,2017-01-16 14:00:27,5914861,512213,42227,95013373,b,Mozilla,Desktop,0
IDocQA3op,2017-01-18 06:04:50,3230001,681102,96184,93157824,a,Mozilla,,0
IDlxCNF5H,2017-01-14 13:31:08,8672716,287296,79668,81758577,b,Edge,Tablet,0
IDjWl6pbZ,2017-01-11 17:25:06,4989750,461432,73248,83960204,a,,Mobile,0
IDnBzdWGA,2017-01-10 14:38:49,8022638,416718,64452,65017662,b,Chrome,Desktop,0
IDwTjrzG8,2017-01-20 12:59:20,1441612,428358,23576,16150900,b,Mozilla,Desktop,0
IDQWS6iLj,2017-01-10 10:51:29,7721600,929361,40339,48935934,c,Edge,Tablet,0
ID0mekwmj,2017-01-16 09:36:59,9425019,123818,1678,73017084,e,Firefox,Mobile,0
IDJNgffcs,2017-01-14 12:05:20,2368040,794923,6906,99510044,b,Firefox,Mobile,0
IDhjMdXU4,2017-01-18 13:33:08,9355271,881397,73248,83960204,f,Mozilla Firefox,Desktop,0
IDfEQxvi3,2017-01-14 19:01:18,5369414,513860,27655,92826840,f,Google Chrome,Mobile,1
IDeOA2H8R,2017-01-14 13:04:29,8672716,641905,68947,555603,b,Firefox,Mobile,0
ID7mSYarE,2017-01-15 12:17:05,5042966,544837,54125,555603,a,Edge,Tablet,0
IDv9vPCb3,2017-01-20 17:54:23,5935592,223936,31365,99684291,a,Firefox,Mobile,0
IDZdoyr3K,2017-01-20 17:58:58,7680816,152827,41706,4000296,f,IE,Mobile,0
IDDZFWGHE,2017-01-17 11:39:20,,422178,95113,92640312,f,Firefox,Mobile,0
IDYzUKlD5,2017-01-19 14:41:02,5703098,382869,40339,43452411,a,Edge,Tablet,0
IDuCIK8Dw,2017-01-12 16:17:50,1049799,488879,54343,71193712,a,Firefox,Mobile,0
IDt1zLDEO,2017-01-11 15:33:22,1481649,569889,80800,20301556,a,Firefox,Mobile,0
IDicSxpQg,2017-01-17 09:02:09,2562855,957312,9764,50595884,a,Edge,,0
IDiPjZdpp,2017-01-20 10:47:03,,32753,1678,61940782,e,InternetExplorer,Desktop,0
IDEpeB1mn,2017-01-11 09:21:44,9613595,786169,904,26391770,b,Mozilla Firefox,Desktop,0
IDf0Iht1Y,2017-01-13 16:06:14,6128186,511842,27655,43526789,b,Edge,Tablet,0
IDQV1yrHx,2017-01-14 09:28:23,2252375,833350,70384,29916445,b,Firefox,Mobile,0
IDlD9FBu3,2017-01-18 11:42:47,6022596,790607,835,33505809,f,Firefox,Mobile,0
IDgVGNMPd,2017-01-14 14:12:18,7548907,751179,68847,7122654,b,Chrome,Desktop,0
IDEfKHyJn,2017-01-19 06:42:50,7071064,75578,34670,1569330,b,Edge,Tablet,0
ID1U4lN6v,2017-01-15 02:45:42,9024312,88813,61341,74363610,e,Edge,Tablet,0
IDdNGfE6K,2017-01-15 15:47:44,4768457,712452,40339,37135965,d,Firefox,Mobile,0
IDOWTB4t1,2017-01-20 16:13:38,7483326,501337,43612,31533763,b,Mozilla Firefox,Desktop,0
IDrDrBjkh,2017-01-14 15:50:33,7575489,609105,99178,6171136,b,Mozilla Firefox,Desktop,0
IDVJqnHxB,2017-01-11 18:07:19,6572058,444944,54916,54526992,b,,Tablet,0
IDtcPr2Al,2017-01-13 17:55:39,8760595,173616,97863,36994522,b,Mozilla Firefox,Desktop,0
IDaGEp18B,2017-01-14 11:10:04,8425383,112175,97863,3156697,b,Firefox,Mobile,0
IDvAeaxi0,2017-01-14 10:11:55,,470858,43285,82291592,c,,Mobile,0
IDhlKPBk5,2017-01-16 12:56:24,,292665,82877,38492160,c,InternetExplorer,,0
IDBdZt6BC,2017-01-16 13:43:30,2648492,467932,97852,7122654,a,Edge,,0
IDq0pyWa5,2017-01-16 16:58:39,,599188,43612,26391770,a,Edge,Tablet,0
ID7O6XRRt,2017-01-13 17:22:49,9925832,991644,8675,46997962,b,InternetExplorer,Desktop,0
IDDNQevza,2017-01-14 16:11:02,6563054,932728,80554,57977218,a,Firefox,Mobile,0
ID1DSRBTF,2017-01-16 13:15:36,2318546,94504,50088,57977218,b,Firefox,Mobile,0
IDZQbXZkR,2017-01-14 16:30:38,8856661,102788,6906,99510044,f,InternetExplorer,Desktop,0
IDbF2aKjs,2017-01-11 19:21:58,6005717,956737,1678,60293830,f,InternetExplorer,Desktop,1
IDqFXPLOO,2017-01-17 09:09:31,5767431,990667,6906,71165566,a,Firefox,Mobile,0
IDtr2WCh7,2017-01-15 14:10:57,4931887,940434,92704,64322853,f,Edge,Tablet,0
IDQhr6oJe,2017-01-14 14:05:29,5498853,271128,68947,26929326,e,Firefox,Mobile,0
IDuesmzu5,2017-01-19 13:30:20,6332135,900015,34670,5016754,b,Edge,Tablet,0
IDR3IM8nX,2017-01-13 17:53:16,7359159,538760,53956,67860104,d,Edge,Tablet,0
IDWcEdRLp,2017-01-17 16:52:08,5938406,468609,42227,43770446,a,Firefox,,0
IDiupvDel,2017-01-16 17:07:38,1537664,28138,84974,74699062,a,Mozilla Firefox,Desktop,0
IDXXDNhBz,2017-01-15 05:16:04,6334082,524582,67817,17687647,b,Edge,Tablet,0
IDq6N4Zgl,2017-01-20 15:48:14,6905127,133432,80554,61940782,f,Firefox,,0
IDRBn5cZs,2017-01-20 16:26:16,383791,545103,40339,37135965,a,Edge,Tablet,0
IDjuCCHdO,2017-01-20 07:49:05,7509445,1670,40050,555603,e,Firefox,Mobile,0
ID1PEmM0e,2017-01-16 14:18:42,8291855,135614,904,26391770,b,Firefox,Mobile,0
ID202Ethq,2017-01-18 12:49:22,,90823,34670,87807327,b,Firefox,Mobile,0
IDwBlfxnT,2017-01-16 15:16:29,,871627,33287,86084476,c,,Mobile,0
IDjVSnbBO,2017-01-17 17:16:42,1885386,827544,904,58604466,d,Mozilla,Desktop,0
IDIeTLB0c,2017-01-14 14:52:16,4524180,770720,11987,74363610,b,Mozilla Firefox,Desktop,0
IDIcXP48j,2017-01-19 09:04:08,4804291,755669,15912,77046603,e,Edge,Tablet,0
ID2Z8STRt,2017-01-12 09:19:51,8058897,996683,20665,26391770,b,Opera,Mobile,0
ID0gS5J5N,2017-01-17 16:27:15,2642017,959886,97863,56008048,a,Firefox,Mobile,0
IDSBUxYhm,2017-01-11 14:26:34,7578086,57327,92704,51545768,f,Firefox,,0
IDYK216R8,2017-01-13 13:25:02,5934579,950974,55686,91808273,b,Edge,,0
IDUsMUsGc,2017-01-14 10:17:34,617583,242107,12211,50595884,a,Edge,Tablet,0
IDEgpeME8,2017-01-16 14:29:36,7979331,501647,68947,58321067,f,Mozilla,Desktop,1
IDrqfATKX,2017-01-12 16:58:35,1161720,91753,42227,7864011,a,IE,,0
ID6oQM1Nv,2017-01-13 14:59:05,616828,271491,17714,74363610,f,Mozilla,,0
IDN1vaMiM,2017-01-19 16:25:05,7271840,32102,2053,91553313,b,Firefox,Mobile,0
IDH5yZJtF,2017-01-10 17:27:57,6317686,324090,99178,6171136,c,Firefox,Mobile,0
ID4soyO0V,2017-01-17 17:35:11,,845355,82877,67290861,b,Edge,Tablet,0
IDB9J7JjK,2017-01-13 14:06:19,9935594,982711,12211,58163546,e,Chrome,Desktop,0
ID86OvI6r,2017-01-20 17:14:50,3039169,577675,11837,56546102,b,Mozilla Firefox,Desktop,0
IDwJDao9t,2017-01-18 15:12:27,457161,681654,54916,62201833,c,,Mobile,0
IDQ9Jldhz,2017-01-15 12:46:42,4008914,999599,54343,71193712,e,Firefox,Mobile,0
IDKR2mFx9,2017-01-14 13:51:12,3428640,542616,904,74363610,e,Firefox,Mobile,0
IDGfbCBVJ,2017-01-17 10:09:07,8792842,336390,9764,50595884,a,Internet Explorer,Tablet,0
IDmgyCrCu,2017-01-16 12:46:07,8391658,10369,82877,48615529,e,Google Chrome,Mobile,0
ID80VeZmd,2017-01-16 17:47:27,2038193,228285,80554,57977218,d,Mozilla Firefox,Desktop,0
IDkBa3rus,2017-01-18 12:39:23,9798829,169973,904,2050923,b,Chrome,,0
